Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
132,Patrick Berg,3,0,0,1.no Bod?/Glimt,no,Europe
133,Sander Berge,0,0,,1.eng Fulham,eng,Europe
134,Lucas Bergvall,2,0,0,1.eng Tottenham,eng,Europe
135,Sebastian Berhalter,3,1,33.3,1.us Vancouver,us,Non-Europe
136,Alexander Bernhardsson,1,1,100,2.de Holstein Kiel,de,Europe
137,Tyler Bindon,2,1,50,2.eng Sheffield United,eng,Europe
138,Csar Blackman,2,1,50,1.sk Slovan Bratislava,sk,Europe
139,Dami n Bobadilla,0,0,,1.br S?o Paulo,br,Non-Europe
140,Oscar Bobb,4,2,50,1.eng Fulham,eng,Europe
141,Mose Bombito,1,1,100,1.fr Nice,fr,Europe
142,Theo Bongonda,1,0,0,1.ru Spartak Moscow,ru,Europe
143,Ange-Yoan Bonny,1,1,100,1.it Inter,it,Europe
144,Jordy Bos,5,2,40,1.nl Feyenoord,nl,Europe
145,Ayyoub Bouaddi,3,0,0,1.fr Lille,fr,Europe
146,Hicham Boudaoui,0,0,,1.fr Nice,fr,Europe
147,Karim Boudiaf,1,0,0,1.qa Al Duhail SC,qa,Non-Europe
148,Adil Boulbina,0,0,,1.qa Al Duhail SC,qa,Non-Europe
149,Yassine Bounou,0,0,,1.sa Al-Hilal,sa,Non-Europe
150,Nawaf Boushal,0,0,,1.sa Al-Nassr,sa,Non-Europe
151,Michael Boxall,0,0,,1.us Minnesota Utd,us,Non-Europe
152,Sultan Al-Brake,0,0,,1.qa Al Duhail SC,qa,Non-Europe
153,Joshua Brenet,0,0,,1.tr Kayserispor,tr,Europe
154,Brian Brobbey,4,3,75,1.eng Sunderland,eng,Europe
155,Dylan Bronn,0,0,,1.ch Servette FC,ch,Europe
156,Nathaniel Brown,3,2,66.7,1.de Frankfurt,de,Europe
157,Tajon Buchanan,6,3,50,1.es Villarreal,es,Europe
158,Ante Budimir,3,1,33.3,1.es Osasuna,es,Europe
159,Firas Al-Buraikan,0,0,,1.sa Al-Ahli,sa,Non-Europe
160,Cameron Burgess,0,0,,2.eng Swansea City,eng,Europe
161,Dan Burn,0,0,,1.eng Newcastle,eng,Europe
162,D?enis Burni?,1,0,0,2.de Karlsruher,de,Europe
163,Gustavo Caballero,1,1,100,2.eng Portsmouth,eng,Europe
164,Jovane Cabral,2,0,0,1.pt Estrela,pt,Europe
165,Liberato Cacace,1,1,100,2.eng Wrexham,eng,Europe
166,Juan C ceres,2,1,50,1.ru Dynamo Moskva,ru,Europe
167,Sebasti n C ceres,3,0,0,1.mx Amrica,mx,Non-Europe
168,Jordy Caicedo,1,0,0,1.ar Hurac n,ar,Non-Europe
169,Moiss Caicedo,4,1,25,1.eng Chelsea,eng,Europe
170,U?urcan ak?r,0,0,,1.tr Galatasaray,tr,Europe
171,Hakan alhano?lu,11,2,18.2,1.it Inter,it,Europe
172,Lamine Camara,3,0,0,1.fr Monaco,fr,Europe
173,Jaminton Campaz,6,3,50,1.ar Rosario Central,ar,Non-Europe
174,?rfan Can Kahveci,0,0,,1.tr Kas?mpa?a,tr,Europe
175,Jos Canale,0,0,,1.ar Lan£s,ar,Non-Europe
176,Jo?o Cancelo,3,0,0,1.es Barcelona,es,Europe
177,Agust¡n Canobbio,4,1,25,1.br Fluminense,br,Non-Europe
178,Casemiro,4,2,50,1.eng Manchester Utd,eng,Europe
179,Josu Casimir,1,0,0,1.fr Auxerre,fr,Europe
180,Timothy Castagne,3,1,33.3,1.eng Fulham,eng,Europe
181,Kevin Casta¤o,0,0,,1.ar River Plate,ar,Non-Europe
182,Jens Castrop,0,0,,1.de Gladbach,de,Europe
183,Zeki elik,1,1,100,1.it Roma,it,Europe
184,Luk ? ?erv,3,2,66.7,1.cz Viktoria Plze?,cz,Europe
185,Fares Chabi,9,3,33.3,1.de Frankfurt,de,Europe
186,Trevoh Chalobah,0,0,,1.eng Chelsea,eng,Europe
187,?t?p n Chaloupek,0,0,,1.cz Slavia Prague,cz,Europe
188,Mouhib Chamakh,0,0,,1.tn Club Africain,tn,Non-Europe
189,Firas Chaouat,0,0,,1.tn Club Africain,tn,Non-Europe
190,Luis Ch vez,0,0,,1.ru Dynamo Moskva,ru,Europe
191,Mateo Ch vez,1,1,100,1.nl AZ Alkmaar,nl,Europe
192,Samir Chergui,0,0,,1.fr Paris FC,fr,Europe
193,Rayan Cherki,1,1,100,1.eng Manchester City,eng,Europe
194,Mathieu Choinire,0,0,,1.us LAFC,us,Non-Europe
195,Tahith Chong,4,2,50,2.eng Sheffield United,eng,Europe
196,Tom ? Chor?,0,0,,1.cz Slavia Prague,cz,Europe
197,Ryan Christie,2,0,0,1.eng Bournemouth,eng,Europe
198,Carney Chukwuemeka,2,1,50,1.de Dortmund,de,Europe
199,Mojm¡r Chytil,0,0,,1.cz Slavia Prague,cz,Europe
200,Brian Cipenga,6,1,16.7,2.es Castell¢n,es,Europe
201,Alessandro Circati,3,0,0,1.it Parma,it,Europe
202,Path Ciss,2,1,50,1.es Rayo Vallecano,es,Europe
203,Livano Comenencia,5,2,40,1.ch Zrich,ch,Europe
204,Eray Cmert,0,0,,1.es Valencia,es,Europe
205,Francisco Concei?o,2,0,0,1.it Juventus,it,Europe
206,Jhon C¢rdoba,2,1,50,1.ru Krasnodar,ru,Europe
207,Jos C¢rdoba,0,0,,2.eng Norwich City,eng,Europe
208,Derek Cornelius,5,1,20,1.fr Marseille,fr,Europe
209,Diogo Costa,0,0,,1.pt Porto,pt,Europe
210,Nuno da Costa,1,0,0,1.tr Ba?ak?ehir,tr,Europe
211,Samu Costa,0,0,,1.es Mallorca,es,Europe
212,Vladim¡r Coufal,1,0,0,1.de Hoffenheim,de,Europe
213,Thibaut Courtois,0,0,,1.es Real Madrid,es,Europe
214,Maxime Crpeau,0,0,,1.us Orlando City,us,Non-Europe
215,Max Crocombe,0,0,,2.eng Millwall,eng,Europe
216,Pau Cubars¡,4,2,50,1.es Barcelona,es,Europe
217,Andrs Cubas,1,0,0,1.us Vancouver,us,Non-Europe
218,Cucho,1,0,0,1.es Real Betis,es,Europe
219,Marc Cucurella,5,3,60,1.eng Chelsea,eng,Europe
220,Matheus Cunha,11,5,45.5,1.eng Manchester Utd,eng,Europe
221,Findlay Curtis,0,0,,1.sct Kilmarnock,sct,Europe
222,Aymen Dahmen,0,0,,1.tn Ahly Sfaxien,tn,Non-Europe
223,Diogo Dalot,1,0,0,1.eng Manchester Utd,eng,Europe
224,Danilo,1,0,0,1.br Flamengo,br,Non-Europe
225,Kevin Danso,1,0,0,1.eng Tottenham,eng,Europe
226,Vladim¡r Darida,1,0,0,1.cz Hradec Kr lov,cz,Europe
227,Jonathan David,18,8,44.4,1.it Juventus,it,Europe
228,Promise David,5,3,60,1.be Union SG,be,Europe
229,Alphonso Davies,0,0,,1.de Bayern Munich,de,Europe
230,Erick Davis,1,0,0,1.pa Plaza Amador,pa,Non-Europe
231,Nasser Al-Dawsari,1,0,0,1.sa Al-Hilal,sa,Non-Europe
232,Salem Al-Dawsari,3,0,0,1.sa Al-Hilal,sa,Non-Europe
233,Mohammad Al-Dawud,0,0,,1.jo Al-Wehdat SC,jo,Non-Europe
234,Kevin De Bruyne,20,5,25,1.it Napoli,it,Europe
235,Maxim De Cuyper,10,6,60,1.eng Brighton,eng,Europe
236,Luc De Fougerolles,3,1,33.3,1.eng Fulham,eng,Europe
237,Charles De Ketelaere,6,5,83.3,1.it Atalanta,it,Europe
238,Nicol s De La Cruz,4,2,50,1.br Flamengo,br,Non-Europe
239,Rodrigo De Paul,2,1,50,1.us Inter Miami,us,Non-Europe
240,Amar Dedi?,2,1,50,1.pt Benfica,pt,Europe
241,Louicius Deedson,2,0,0,1.us FC Dallas,us,Non-Europe
242,Hannes Delcroix,0,0,,1.ch Lugano,ch,Europe
243,Ousmane Dembl,20,10,50,1.fr PSG,fr,Europe
244,Merih Demiral,6,2,33.3,1.sa Al-Ahli,sa,Non-Europe
245,Ermedin Demirovi?,4,4,100,1.de Stuttgart,de,Europe
246,Sergi¤o Dest,3,1,33.3,1.nl PSV,nl,Europe
247,Frans Dhia Putros,0,0,,1.id Persib Bandung,id,Non-Europe
248,Oumar Diakit,0,0,,1.be Cercle Brugge,be,Europe
249,Amad Diallo,8,4,50,1.eng Manchester Utd,eng,Europe
250,Assane Diao,0,0,,1.it Como,it,Europe
251,Habib Diarra,4,2,50,1.eng Sunderland,eng,Europe
252,R£ben Dias,0,0,,1.eng Manchester City,eng,Europe
253,Krpin Diatta,1,0,0,1.fr Monaco,fr,Europe
254,Mory Diaw,0,0,,1.fr Le Havre,fr,Europe
255,Brahim D¡az,6,1,16.7,1.es Real Madrid,es,Europe
256,Ismael D¡az,6,2,33.3,1.mx Le¢n,mx,Non-Europe
257,Luis D¡az,19,6,31.6,1.de Bayern Munich,de,Europe
258,Bamba Dieng,0,0,,1.fr Lorient,fr,Europe
259,Lucas Digne,2,1,50,1.eng Aston Villa,eng,Europe
260,Diney,4,2,50,1.ae Al Bataeh,ae,Non-Europe
261,Ousmane Diomande,0,0,,1.pt Sporting CP,pt,Europe
262,Yan Diomand,4,0,0,1.de RB Leipzig,de,Europe
263,Issa Diop,1,1,100,1.eng Fulham,eng,Europe
264,El Hadji Malick Diouf,0,0,,1.eng West Ham,eng,Europe
265,Ritsu Doan,1,0,0,1.de Frankfurt,de,Europe
266,Jeremy Doku,3,1,33.3,1.eng Manchester City,eng,Europe
