Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
327,JesÂ£s Gallardo,4,0,0.0,1.mx Toluca,mx,Non-Europe
329,Ben Gannon-Doak,4,0,0.0,1.eng Bournemouth,eng,Europe
334,IsmaÂl Gharbi,3,0,0.0,1.de Augsburg,de,Europe
337,Saman Ghoddos,4,0,0.0,1.ae Al-Ittihad Kalba,ae,Non-Europe
345,Diego GÂ¢mez,6,0,0.0,1.eng Brighton,eng,Europe
348,NicolÂ s GonzÂ lez,7,1,14.3,1.es AtlÂtico Madrid,es,Europe
349,Anthony Gordon,6,4,66.7,1.es Barcelona,es,Europe
353,Amine Gouiri,3,2,66.7,1.fr Marseille,fr,Europe
354,Ryan Gravenberch,5,0,0.0,1.eng Liverpool,eng,Europe
362,Idrissa Gueye,5,1,20.0,1.eng Everton,eng,Europe
363,Pape Gueye,8,3,37.5,1.es Villarreal,es,Europe
364,Bruno Guimar?es,8,2,25.0,1.eng Newcastle,eng,Europe
366,Arda GÂler,12,4,33.3,1.es Real Madrid,es,Europe
369,Brian GutiÂrrez,6,0,0.0,1.mx Guadalajara,mx,Non-Europe
372,Viktor GyÂkeres,12,6,50.0,1.eng Arsenal,eng,Europe
374,Erling Haaland,20,13,65.0,1.eng Manchester City,eng,Europe
382,Achraf Hakimi,14,4,28.6,1.fr PSG,fr,Europe
384,Ali Al Hamadi,6,0,0.0,2.eng Ipswich Town,eng,Europe
391,Mohamed Hany,4,0,0.0,1.eg Al Ahly,eg,Non-Europe
394,Carlos Harvey,5,0,0.0,1.us Minnesota Utd,us,Non-Europe
400,Kai Havertz,12,7,58.3,1.eng Arsenal,eng,Europe
402,Jan Paul van Hecke,3,2,66.7,1.eng Brighton,eng,Europe
410,Theo HernÂ ndez,3,0,0.0,1.sa Al-Hilal,sa,Non-Europe
412,Son Heung-min,7,1,14.3,1.us LAFC,us,Non-Europe
415,Piero HincapiÂ,3,0,0.0,1.eng Arsenal,eng,Europe
416,Adam Hlo?ek,3,1,33.3,1.de Hoffenheim,de,Europe
420,Ajdin Hrustic,3,0,0.0,1.nl Heracles Almelo,nl,Europe
423,Ayman Hussein,3,1,33.3,1.iq Al-Karma,iq,Non-Europe
424,Oh Hyeon-gyu,4,2,50.0,1.tr Be?ikta?,tr,Europe
429,Hwang In-beom,4,2,50.0,1.nl Feyenoord,nl,Europe
432,Nestory Irankunda,6,2,33.3,2.eng Watford,eng,Europe
433,Jackson Irvine,3,1,33.3,1.de St Pauli,de,Europe
434,Alexander Isak,8,6,75.0,1.eng Liverpool,eng,Europe
435,Wilson Isidor,5,2,40.0,1.eng Sunderland,eng,Europe
441,Junya It?,3,1,33.3,1.be Genk,be,Europe
443,Nicolas Jackson,7,3,42.9,1.de Bayern Munich,de,Europe
451,Ali Jasim,4,1,25.0,1.sa Al-Najma,sa,Non-Europe
454,RaÂ£l JimÂnez,18,7,38.9,1.eng Fulham,eng,Europe
458,Alistair Johnston,5,2,40.0,1.sct Celtic,sct,Europe
461,Edmilson Junior,3,2,66.7,1.qa Al Duhail SC,qa,Non-Europe
462,Vinicius JÂ£nior,17,11,64.7,1.es Real Madrid,es,Europe
463,Elijah Just,7,5,71.4,1.sct Motherwell,sct,Europe
465,Ayoub El Kaabi,3,2,66.7,1.gr Olympiacos,gr,Europe
469,Sa?a Kalajd?i?,4,1,25.0,1.at LASK,at,Europe
471,Daichi Kamada,3,2,66.7,1.eng Crystal Palace,eng,Europe
473,Harry Kane,23,12,52.2,1.de Bayern Munich,de,Europe
474,Lee Kang-in,4,1,25.0,1.fr PSG,fr,Europe
475,Mohamed Kanno,3,2,66.7,1.sa Al-Hilal,sa,Non-Europe
483,Franck KessiÂ,4,2,50.0,1.sa Al-Ahli,sa,Non-Europe
487,Bilal El Khannouss,6,4,66.7,1.de Stuttgart,de,Europe
489,Boualem Khoukhi,3,1,33.3,1.qa Al Sadd,qa,Non-Europe
491,Joshua Kimmich,5,1,20.0,1.de Bayern Munich,de,Europe
494,Orkun KÂkÂÂ,3,0,0.0,1.tr Be?ikta?,tr,Europe
496,Ghislain Konan,4,0,0.0,1.pt Gil Vicente FC,pt,Europe
499,Manu KonÂ,6,2,33.3,1.it Roma,it,Europe
500,Ezri Konsa,3,2,66.7,1.eng Aston Villa,eng,Europe
505,Mateo Kova?i?,5,4,80.0,1.eng Manchester City,eng,Europe
508,Ladislav Krej?Â¡,5,1,20.0,1.eng Wolves,eng,Europe
513,Gustaf Lagerbielke,3,1,33.3,1.pt Braga,pt,Europe
519,Aymeric Laporte,5,2,40.0,1.es Athletic Club,es,Europe
520,Cyle Larin,9,4,44.4,1.es Mallorca,es,Europe
524,Rafael Le?o,4,1,25.0,1.it Milan,it,Europe
526,Jefferson Lerma,5,1,20.0,1.eng Crystal Palace,eng,Europe
537,Sidny Lopes Cabral,4,2,50.0,1.pt Benfica,pt,Europe
541,JosÂ Luis RodrÂ¡guez,3,1,33.3,1.mx FC JuÂ rez,mx,Non-Europe
542,Romelu Lukaku,6,3,50.0,1.it Napoli,it,Europe
543,Dodi Lukebakio,7,1,14.3,1.pt Benfica,pt,Europe
544,Jovo Luki?,3,2,66.7,1.ro Univ. Cluj,ro,Europe
546,Alexis Mac Allister,13,4,30.8,1.eng Liverpool,eng,Europe
550,Noni Madueke,6,1,16.7,1.eng Arsenal,eng,Europe
553,Ermin Mahmi?,4,2,50.0,1.cz Slovan Liberec,cz,Europe
555,Riyad Mahrez,6,3,50.0,1.sa Al-Ahli,sa,Non-Europe
558,Evidence Makgopa,4,3,75.0,1.za Orlando Pirates,za,Non-Europe
560,Donyell Malen,4,2,50.0,1.it Roma,it,Europe
564,Sadio ManÂ,6,3,50.0,1.sa Al-Nassr,sa,Non-Europe
565,Juan Manuel Sanabria,3,0,0.0,1.mx AtlÂtico San Luis,mx,Non-Europe
566,Johan Manzambi,6,3,50.0,1.de Freiburg,de,Europe
