Rk,Player,Club,MP,Min
1078,Fabian Rieder,1.de Augsburg,5,302
1079,Ricardo Rodríguez,1.es Real Betis,6,517
1080,Djibril Sow,1.es Sevilla,4,253
1081,Ruben Vargas,1.es Sevilla,6,284
1082,Silvan Widmer,1.de Mainz 05,5,175
1083,Granit Xhaka,1.eng Sunderland,6,600
1084,Denis Zakaria,1.fr Monaco,4,357
1085,DF,Kenitra Morocco,,
1086,Ayoube Amaimouni,1.de Frankfurt,2,18
1087,Sofyan Amrabat,1.es Real Betis,3,147
1088,Neil El Aynaoui,1.it Roma,6,562
1089,Youssef Belammari,1.eg Al Ahly,0,
1090,Ayyoub Bouaddi,1.fr Lille,5,381
1091,Yassine Bounou,1.sa Al-Hilal,6,570
1092,Brahim Díaz,1.es Real Madrid,6,457
1093,Issa Diop,1.eng Fulham,5,476
1094,Abde Ezzalzouli,1.es Real Betis,,
1095,Achraf Hakimi,1.fr PSG,6,570
1096,Redouane Halhal,1.be Mechelen,2,180
1097,Ayoub El Kaabi,1.gr Olympiacos,1,69
1098,Bilal El Khannouss,1.de Stuttgart,6,461
1099,Noussair Mazraoui,1.eng Manchester Utd,6,477
1100,Samir El Mourabet,1.fr Strasbourg,5,81
1101,Munir,1.ma RS Berkane,0,
1102,Zakaria El Ouahdi,1.be Genk,1,17
1103,Azzedine Ounahi,1.es Girona,6,435
1104,Soufiane Rahimi,1.ae Al Ain,6,163
1105,Ahmed Reda Tagnaouti,1.ma AS FAR,0,
1106,Chadi Riad,1.eng Crystal Palace,4,344
1107,Marwane Saâdane,1.sa Al-Fateh,1,4
1108,Ismael Saibari,1.nl PSV,5,381
1109,Anass Salah-Eddine,1.nl PSV,4,212
1110,Amine Sbai,1.fr Angers,1,6
1111,Chemsdine Talbi,1.eng Sunderland,5,179
1112,Gessime Yassine,1.fr Strasbourg,3,80
1113,Timothy Castagne,1.eng Fulham,6,478
1114,Thibaut Courtois,1.es Real Madrid,6,550
1115,Kevin De Bruyne,1.it Napoli,5,382
1116,Maxim De Cuyper,1.eng Brighton,6,442
1117,Charles De Ketelaere,1.it Atalanta,5,350
1118,Koni De Winter,1.it Milan,0,
1119,Zeno Debast,1.pt Sporting CP,0,
1120,Jeremy Doku,1.eng Manchester City,5,309
1121,Matias Fernandez-Pardo,1.fr Lille,3,44
1122,Senne Lammens,1.eng Manchester Utd,1,20
1123,Romelu Lukaku,1.it Napoli,6,233
1124,Dodi Lukebakio,1.pt Benfica,3,164
1125,Brandon Mechele,1.be Club Brugge,6,570
1126,Thomas Meunier,1.fr Lille,3,190
1127,Diego Moreira,1.fr Strasbourg,1,58
1128,Nathan Ngoy,1.fr Lille,4,335
1129,Amadou Onana,1.eng Aston Villa,4,106
1130,Mike Penders,1.fr Strasbourg,0,
1131,Nicolas Raskin,1.sct Rangers,6,341
1132,Alexis Saelemaekers,1.it Milan,4,83
1133,Joaquin Seys,1.be Club Brugge,1,30
1134,Arthur Theate,1.de Frankfurt,3,228
1135,Youri Tielemans,1.eng Aston Villa,5,474
1136,Leandro Trossard,1.eng Arsenal,6,506
1137,Hans Vanaken,1.be Club Brugge,6,319
1138,Axel Witsel,1.es Girona,2,33
1139,Thelo Aasgaard,1.sct Rangers,1,90
1140,Kristoffer Ajer,1.eng Brentford,5,480
1141,Fredrik André Bjørkan,1.no Bodø/Glimt,1,45
1142,Fredrik Aursnes,1.pt Benfica,6,304
1143,Patrick Berg,1.no Bodø/Glimt,6,445
1144,Sander Berge,1.eng Fulham,5,480
1145,Oscar Bobb,1.eng Fulham,6,225
1146,Henrik Falchener,1.no Viking,1,65
1147,Erling Haaland,1.eng Manchester City,5,465
1148,Torbjørn Heggem,1.it Bologna,5,443
1149,Sondre Langås,2.eng Derby County,1,25
1150,David Møller Wolfe,1.eng Wolves,5,430
1151,Antonio Nusa,1.de RB Leipzig,6,318
1152,Ørjan Nyland,1.es Sevilla,5,480
1153,Marcus Pedersen,1.it Torino,4,236
1154,Jens Petter Hauge,1.no Bodø/Glimt,1,8
1155,Julian Ryerson,1.de Dortmund,4,223
1156,Andreas Schjelderup,1.pt Benfica,6,252
1157,Egil Selvik,2.eng Watford,1,90
1158,Jørgen Strand Larsen,1.eng Crystal Palace,2,105
1159,Alexander Sørloth,1.es Atlético Madrid,5,337
1160,Sander Tangvik,1.de Hamburger SV,0,
1161,Morten Thorsby,1.it Cremonese,1,45
1162,Kristian Thorstvedt,1.it Sassuolo,2,63
1163,Martin Ødegaard,1.eng Arsenal,5,470
1164,Leo Østigård,1.it Genoa,5,146
1165,Maghnes Akliouche,1.fr Monaco,1,8
1166,Bradley Barcola,1.fr PSG,8,384
1167,Rayan Cherki,1.eng Manchester City,7,130
1168,Ousmane Dembélé,1.fr PSG,8,592
1169,Lucas Digne,1.eng Aston Villa,6,463
1170,Désiré Doué,1.fr PSG,8,400
1171,Malo Gusto,1.eng Chelsea,5,121
1172,Lucas Hernández,1.fr PSG,0,
1173,Theo Hernández,1.sa Al-Hilal,5,257
1174,N'Golo Kanté,1.tr Fenerbahçe,0,
1175,Ibrahima Konaté,1.eng Liverpool,2,60
1176,Manu Koné,1.it Roma,5,385
1177,Jules Koundé,1.es Barcelona,8,599
1178,Maxence Lacroix,1.eng Crystal Palace,3,241
1179,Mike Maignan,1.it Milan,8,720
1180,Jean-Philippe Mateta,1.eng Crystal Palace,3,24
1181,Kylian Mbappé,1.es Real Madrid,8,695
1182,Michael Olise,1.de Bayern Munich,8,646
1183,Adrien Rabiot,1.it Milan,7,585
1184,Robin Risser,1.fr Lens,0,
1185,William Saliba,1.eng Arsenal,6,479
1186,Brice Samba,1.fr Rennes,0,
1187,Aurélien Tchouaméni,1.es Real Madrid,4,360
1188,Marcus Thuram,1.it Inter,1,1
1189,Dayot Upamecano,1.de Bayern Munich,8,660
1190,Warren Zaïre-Emery,1.fr PSG,2,110
1191,Elliot Anderson,1.eng Nottingham,8,632
1192,Jude Bellingham,1.es Real Madrid,8,614
1193,Dan Burn,1.eng Newcastle,3,35
1194,Trevoh Chalobah,1.eng Chelsea,1,1
1195,Eberechi Eze,1.eng Arsenal,5,211
1196,Anthony Gordon,1.es Barcelona,6,396
1197,Marc Guéhi,1.eng Manchester City,8,663
1198,Dean Henderson,1.eng Crystal Palace,1,90
1199,Jordan Henderson,1.eng Brentford,1,7
1200,Reece James,1.eng Chelsea,5,319
1201,Harry Kane,1.de Bayern Munich,7,652
1202,Ezri Konsa,1.eng Aston Villa,8,647
1203,Tino Livramento,1.eng Newcastle,,
1204,Noni Madueke,1.eng Arsenal,5,286
1205,Kobbie Mainoo,1.eng Manchester Utd,0,
1206,Nico O'Reilly,1.eng Manchester City,7,461
1207,Jordan Pickford,1.eng Everton,7,660
1208,Jarell Quansah,1.de Leverkusen,3,197
1209,Marcus Rashford,1.es Barcelona,6,223
1210,Declan Rice,1.eng Arsenal,7,557
1211,Morgan Rogers,1.eng Aston Villa,7,339
1212,Bukayo Saka,1.eng Arsenal,7,358
1213,Djed Spence,1.eng Tottenham,8,404
1214,John Stones,1.eng Manchester City,5,330
1215,Ivan Toney,1.sa Al-Ahli,2,79
1216,James Trafford,1.eng Manchester City,0,
1217,Ollie Watkins,1.eng Aston Villa,2,52
1218,Thiago Almada,1.es Atlético Madrid,5,241
1219,Julián Álvarez,1.es Atlético Madrid,8,602
1220,Leonardo Balerdi,1.fr Marseille,,
1221,Valentín Barco,1.fr Strasbourg,1,20
1222,Rodrigo De Paul,1.us Inter Miami,7,491
1223,Enzo Fernández,1.eng Chelsea,7,659
1224,Nicolás González,1.es Atlético Madrid,7,259
1225,Giovani Lo Celso,1.es Real Betis,1,59
1226,Flaco López,1.br Palmeiras,2,20
1227,Alexis Mac Allister,1.eng Liverpool,8,750
1228,Emiliano Martínez,1.eng Aston Villa,8,810
1229,Lautaro Martínez,1.it Inter,7,310
1230,Lisandro Martínez,1.eng Manchester Utd,7,624
1231,Facundo Medina,1.fr Marseille,5,308
1232,Lionel Messi,1.us Inter Miami,8,740
1233,Nahuel Molina,1.es Atlético Madrid,7,528
1234,Gonzalo Montiel,1.ar River Plate,6,192
1235,Juan Musso,1.es Atlético Madrid,0,
1236,Nicolás Otamendi,1.pt Benfica,7,247
1237,Exequiel Palacios,1.de Leverkusen,1,90
1238,Leandro Paredes,1.ar Boca Juniors,7,473
1239,Nicolás Paz,1.it Como,2,71
1240,Cristian Romero,1.eng Tottenham,7,608
1241,Gerónimo Rulli,1.fr Marseille,0,
1242,Marcos Senesi,1.eng Bournemouth,2,109
1243,Giuliano Simeone,1.es Atlético Madrid,3,192
1244,Nicolás Tagliafico,1.fr Lyon,7,476
1245,Álex Baena,1.es Atlético Madrid,7,481
1246,Pau Cubarsí,1.es Barcelona,8,750
1247,Marc Cucurella,1.eng Chelsea,8,750
1248,Eric García,1.es Barcelona,1,22
1249,Joan García,1.es Barcelona,0,
1250,Gavi,1.es Barcelona,2,76
1251,Álex Grimaldo,1.de Leverkusen,0,
1252,Borja Iglesias,1.es Celta Vigo,1,1
1253,Aymeric Laporte,1.es Athletic Club,8,727
1254,Marcos Llorente,1.es Atlético Madrid,3,187
1255,Mikel Merino,1.eng Arsenal,8,199
1256,Víctor Muñoz,1.es Osasuna,0,
1257,Dani Olmo,1.es Barcelona,8,491
1258,Mikel Oyarzabal,1.es Real Sociedad,8,601
1259,Pedri,1.es Barcelona,8,499
1260,Yéremy Pino,1.eng Crystal Palace,2,70
1261,Pedro Porro,1.eng Tottenham,6,563
1262,Marc Pubill,1.es Atlético Madrid,1,1
1263,David Raya,1.eng Arsenal,0,
1264,Rodri,1.eng Manchester City,8,724
1265,Fabián Ruiz Peña,1.fr PSG,8,321
1266,Unai Simón,1.es Athletic Club,8,750
1267,Ferran Torres,1.es Barcelona,8,288
1268,Nico Williams,1.es Athletic Club,6,113
1269,Lamine Yamal,1.es Barcelona,8,614
1270,Martín Zubimendi,1.eng Arsenal,1,22
