Rk,Player,Club,MP,Min
379,Oh Hyeon-gyu,1.tr Beşiktaş,3,129
380,Jo Hyeon-woo,1.kr Ulsan HD,0,
381,Yang Hyun-jun,1.sct Celtic,1,20
382,Hwang In-beom,1.nl Feyenoord,3,263
383,Lee Jae-sung,1.de Mainz 05,2,117
384,Eom Ji-sung,2.eng Swansea City,2,42
385,Kim Jin-gyu,1.kr Jeonbuk,2,52
386,Park Jinseob,1.cn Zhejiang,2,32
387,Bae Jun-ho,2.eng Stoke City,0,
388,Lee Kang-in,1.fr PSG,3,270
389,Kim Min-jae,1.de Bayern Munich,3,245
390,Kim Moon-hwan,1.kr Daejeon Hana,1,70
391,Kim Seung-gyu,1.jp FC Tokyo,3,270
392,Paik Seung-ho,2.eng Birmingham City,3,204
393,Kim Tae-hyeon,1.jp Kashima Antlers,0,
394,Lee Tae-seok,1.at Austria Wien,2,113
395,Cho Wi-je,1.kr Jeonbuk,0,
396,Seol Young-woo,1.rs Red Star,3,250
397,Cho Yu-min,1.ae Al-Sharjah SCC,,
398,Ali Alipour,1.ir Persepolis,1,38
399,Alireza Beiranvand,1.ir Tractor,3,270
400,Rouzbeh Cheshmi,1.ir Esteghlal,0,
401,Dennis Eckert,1.be Standard Liège,0,
402,Danial Eiri,1.ir Malavan,0,
403,Saeid Ezatolahi,1.ae Al-Ahli Dubai FC,3,264
404,Mehdi Ghayedi,1.ae Al-Nasr Dubai,1,45
405,Saman Ghoddos,1.ae Al-Ittihad Kalba,3,208
406,Mohammad Ghorbani,1.ae Al-Wahda FC,1,90
407,Ehsan Hajsafi,1.ir Sepahan,2,91
408,Saleh Hardani,1.ir Esteghlal,2,90
409,Hossein Hosseini,1.ir Sepahan,0,
410,Amirhossein Hosseinzadeh,1.ir Tractor,2,17
411,Alireza Jahanbakhsh,1.be Dender,2,46
412,Hossein Kanaanizadegan,1.ir Persepolis,2,135
413,Shoja' Khalilzadeh,1.ir Tractor,3,270
414,Shahriar Moghanlou,1.ae Al-Ittihad Kalba,3,88
415,Milad Mohammadi,1.ir Persepolis,3,205
416,Mohammad Mohebi,1.ru Rostov,3,244
417,Ali Nemati,1.ir Foolad,3,270
418,Payam Niazmand,1.ir Persepolis,0,
419,Amirmohammad Razzaghinia,1.ir Esteghlal,0,
420,Ramin Rezaeian,1.ir Foolad,3,270
421,Mehdi Taremi,1.gr Olympiacos,3,259
422,Mehdi Torabi,1.ir Tractor,1,25
423,Aria Yousefi,1.ir Sepahan,1,45
424,Telmo Arcanjo,1.pt Vit. Guimarães,2,57
425,Gilson Benchimol,1.ru Akron Tolyatti,2,78
426,Jovane Cabral,1.pt Estrela,2,139
427,Logan Costa,1.es Villarreal,0,
428,Nuno da Costa,1.tr Başakşehir,4,159
429,Diney,1.ae Al Bataeh,4,390
430,C.J. dos Santos,1.us San Diego FC,0,
431,Deroy Duarte,1.bg Ludogorets,4,264
432,Laros Duarte,1.hu Puskás Akad.,4,166
433,Dailon Livramento,1.pt Casa Pia,3,174
434,Sidny Lopes Cabral,1.pt Benfica,3,285
435,Ryan Mendes,2.tr 76 Iğdır Belediyespor,4,330
436,Jamiro Monteiro,1.nl Zwolle,4,281
437,Steven Moreira,1.us Columbus Crew,4,301
438,João Paulo Fernandes,1.ro FCSB,2,105
439,Pico,1.ie Shamrock,4,390
440,Kevin Pina,1.ru Krasnodar,4,349
441,Wagner Pina,1.tr Trabzonspor,1,89
442,Kelvin Pires,1.fi SJK,0,
443,Garry Rodrigues,1.cy Apollon Limassol,2,76
444,Márcio Rosa,1.bg Montana,0,
445,Willy Semedo,1.cy AC Omonia,3,131
446,Stopira,2.pt Torreense,0,
447,Hélio Varela,1.il Maccabi Tel Aviv,3,104
448,Vozinha,2.pt Chaves,4,390
449,Yannick,2.pt Farense,2,32
450,Lamine Camara,1.fr Monaco,4,248
451,Pathé Ciss,1.es Rayo Vallecano,4,184
452,Assane Diao,1.it Como,1,10
453,Habib Diarra,1.eng Sunderland,3,143
454,Krépin Diatta,1.fr Monaco,4,390
455,Mory Diaw,1.fr Le Havre,3,238
456,Bamba Dieng,1.fr Lorient,1,8
457,El Hadji Malick Diouf,1.eng West Ham,3,171
458,Yehvann Diouf,1.fr Nice,0,
459,Idrissa Gueye,1.eng Everton,4,361
460,Pape Gueye,1.es Villarreal,4,234
461,Nicolas Jackson,1.de Bayern Munich,4,234
462,Ismail Jakobs,1.tr Galatasaray,3,219
463,Kalidou Koulibaly,1.sa Al-Hilal,2,161
464,Sadio Mané,1.sa Al-Nassr,4,362
465,Pape Matar Sarr,1.eng Tottenham,2,67
466,Ibrahim Mbaye,1.fr PSG,4,157
467,Antoine Mendy,1.fr Nice,0,
468,Édouard Mendy,1.sa Al-Ahli,2,152
469,Cherif Ndiaye,1.tr Samsunspor,0,
470,Iliman Ndiaye,1.eng Everton,3,114
471,Moussa Niakhaté,1.fr Lyon,4,390
472,Bara Sapoko Ndiaye,1.de Bayern Munich,1,26
473,Ismaila Sarr,1.eng Crystal Palace,4,364
474,Mamadou Sarr,1.eng Chelsea,0,
475,Abdoulaye Seck,1.il Maccabi Haifa,1,57
476,Achref Abada,1.dz USM Alger,0,
477,Rayan Aït-Nouri,1.eng Manchester City,4,284
478,Mohamed Amine Tougai,1.tn Espérance Tunis,0,
479,Mohamed Amoura,1.de Wolfsburg,1,27
480,Houssem Aouar,1.sa Al-Ittihad,3,173
481,Zineddine Belaïd,1.dz JS Kabylie,2,25
482,Rafik Belghali,1.it Hellas Verona,4,331
483,Oussama Benbot,1.dz USM Alger,1,90
484,Nadhir Benbouali,1.hu Győr,1,45
485,Ramy Bensebaini,1.de Dortmund,4,360
486,Nabil Bentaleb,1.fr Lille,4,285
487,Hicham Boudaoui,1.fr Nice,3,128
488,Adil Boulbina,1.qa Al Duhail SC,2,19
489,Fares Chaïbi,1.de Frankfurt,4,360
490,Samir Chergui,1.fr Paris FC,1,20
491,Farés Ghedjemis,2.it Frosinone,1,1
492,Amine Gouiri,1.fr Marseille,4,251
493,Anis Hadj Moussa,1.nl Feyenoord,3,98
494,Jaouen Hadjam,1.ch Young Boys,3,109
495,Riyad Mahrez,1.sa Al-Ahli,4,262
496,Aïssa Mandi,1.fr Lille,4,360
497,Melvin Mastil,2.ch Stade Nyonnais,0,
498,Ibrahim Maza,1.de Leverkusen,4,351
499,Yassine Titraoui,1.be Charleroi,0,
500,Ramiz Zerrouki,1.nl Twente,3,111
501,Luca Zidane,2.es Granada,3,270
502,Kerim Alajbegović,1.at RB Salzburg,4,277
503,Esmir Bajraktarevic,1.nl PSV,4,230
504,Ivan Bašić,1.kz FC Astana,3,179
505,Samed Baždar,1.de Gladbach,1,29
506,Dženis Burnić,2.de Karlsruher,2,16
507,Nidal Čelik,1.fr Lens,,
508,Amar Dedić,1.pt Benfica,3,270
509,Ermedin Demirović,1.de Stuttgart,4,354
510,Edin Džeko,2.de Schalke 04,3,176
511,Armin Gigovic,1.ch Young Boys,2,79
512,Amir Hadžiahmetović,2.eng Hull City,1,6
513,Dennis Hadžikadunić,2.it Sampdoria,1,27
514,Osman Hadžikić,1.hr Slaven Belupo,,
515,Mladen Jurkas,1.ba B. Banja Luka,0,
516,Nikola Katić,2.de Schalke 04,4,317
517,Sead Kolašinac,1.it Atalanta,4,337
518,Jovo Lukić,1.ro Univ. Cluj,2,67
519,Ermin Mahmić,1.cz Slovan Liberec,3,68
520,Arjan Malic,1.at Sturm Graz,1,45
521,Amar Memić,1.cz Viktoria Plzeň,4,224
522,Tarik Muharemovic,1.it Sassuolo,3,259
