Rk,Player,Club,MP,Min,MinPerMatch
146,Aníbal Godoy,1.us San Diego FC,1.0,1.0,1.0
147,Jorge Gutiérrez,1.ve Dep. La Guaira,1.0,87.0,87.0
148,Carlos Harvey,1.us Minnesota Utd,3.0,267.0,89.0
149,Azarías Londoño,1.ec Univ Católica,3.0,56.0,18.666666666666668
150,José Luis Rodríguez,1.mx FC Juárez,3.0,233.0,77.66666666666667
151,Cristian Martínez,1.il Kiryat Shmona,3.0,242.0,80.66666666666667
154,Orlando Mosquera,1.sa Al-Fayha,3.0,270.0,90.0
155,Alberto Quintero,1.pa Plaza Amador,1.0,3.0,3.0
156,Jiovany Ramos,1.ve Puerto Cabello,2.0,166.0,83.0
157,Tomás Rodríguez,1.cr Saprissa,2.0,46.0,23.0
159,Cecilio Waterman,1.cl U Concepción,2.0,76.0,38.0
161,Jeremy Antonisse,1.gr AE Kifisia,2.0,75.0,37.5
162,Juninho Bacuna,1.nl Volendam,3.0,254.0,84.66666666666667
163,Leandro Bacuna,2.tr 76 Iğdır Belediyespor,3.0,270.0,90.0
164,Riechedly Bazoer,1.tr Konyaspor,1.0,90.0,90.0
166,Joshua Brenet,1.tr Kayserispor,2.0,179.0,89.5
167,Tahith Chong,2.eng Sheffield United,3.0,247.0,82.33333333333333
168,Livano Comenencia,1.ch Zürich,3.0,233.0,77.66666666666667
170,Roshon van Eijma,2.nl RKC Waalwijk,1.0,15.0,15.0
172,Sherel Floranus,1.nl Zwolle,3.0,270.0,90.0
173,Deveron Fonville,1.nl NEC Nijmegen,3.0,241.0,80.33333333333333
174,Juriën Gaari,2.sa Abha,2.0,166.0,83.0
175,Kenji Gorré,1.il Maccabi Haifa,1.0,16.0,16.0
176,Sontje Hansen,2.eng Middlesbrough,1.0,45.0,45.0
177,Gervane Kastaneer,1.my Terengganu City,3.0,30.0,10.0
178,Brandley Kuwas,1.nl Volendam,1.0,1.0,1.0
179,Jürgen Locadia,2.us Miami FC,3.0,235.0,78.33333333333333
180,Jearl Margaritha,2.be Beveren,2.0,41.0,20.5
182,Tyrese Noslin,1.nl Telstar,1.0,14.0,14.0
183,Armando Obispo,1.nl PSV,3.0,270.0,90.0
184,Godfried Roemeratoe,2.nl RKC Waalwijk,1.0,7.0,7.0
185,Eloy Room,2.us Miami FC,3.0,270.0,90.0
186,Shurandy Sambo,1.nl Sparta R.,1.0,1.0,1.0
187,Yusuf Abdurisag,1.qa Al-Wakrah,2.0,98.0,49.0
188,Mahmoud Abunada,1.qa Al Rayyan SC,3.0,270.0,90.0
189,Akram Afif,1.qa Al Sadd,3.0,238.0,79.33333333333333
190,Homam Ahmed,2.es Cultural Leonesa,2.0,122.0,61.0
191,Ahmed Alaaeldin,1.qa Al Rayyan SC,2.0,43.0,21.5
192,Almoez Ali,1.qa Al Duhail SC,1.0,19.0,19.0
194,Karim Boudiaf,1.qa Al Duhail SC,2.0,102.0,51.0
195,Sultan Al-Brake,1.qa Al Duhail SC,2.0,141.0,70.5
196,Ahmed Fathy,1.qa Al-Arabi,3.0,150.0,50.0
197,Jassem Gaber,1.qa Al Rayyan SC,3.0,149.0,49.666666666666664
198,Ahmed Al-Ganehi,1.qa Al-Gharafa Sports Club,1.0,36.0,36.0
199,Abdulaziz Hatem,1.qa Al Rayyan SC,1.0,45.0,45.0
200,Hassan Al-Haydos,1.qa Al Sadd,2.0,57.0,28.5
201,Al-Hashmi Al-Hussain,1.qa Al-Arabi,1.0,32.0,32.0
203,Edmilson Junior,1.qa Al Duhail SC,3.0,210.0,70.0
204,Boualem Khoukhi,1.qa Al Sadd,3.0,270.0,90.0
205,Issa Laye,1.qa Al-Arabi,3.0,270.0,90.0
206,Assim Madibo,1.qa Al-Wakrah,2.0,131.0,65.5
207,Mohamed Manai,1.qa Al-Shamal Sports Club,3.0,69.0,23.0
208,Lucas Mendes,1.qa Al-Wakrah,1.0,4.0,4.0
210,Ayoub Al-Oui,1.qa Al-Gharafa Sports Club,2.0,149.0,74.5
211,Ró-Ró,1.qa Al Sadd,3.0,270.0,90.0
215,Joe Bell,1.no Viking,3.0,243.0,81.0
216,Tyler Bindon,2.eng Sheffield United,3.0,97.0,32.333333333333336
217,Michael Boxall,1.us Minnesota Utd,3.0,207.0,69.0
218,Liberato Cacace,2.eng Wrexham,3.0,220.0,73.33333333333333
219,Max Crocombe,2.eng Millwall,3.0,270.0,90.0
220,Callan Elliot,1.au Auckland FC,1.0,13.0,13.0
222,Elijah Just,1.sct Motherwell,3.0,264.0,88.0
223,Callum McCowatt,1.dk Silkeborg,3.0,159.0,53.0
224,Ben Old,2.fr Saint-Étienne,3.0,93.0,31.0
226,Tim Payne,1.au Wellington,3.0,224.0,74.66666666666667
228,Jesse Randall,1.au Auckland FC,3.0,61.0,20.333333333333332
231,Sarpreet Singh,1.au Wellington,3.0,209.0,69.66666666666667
233,Marko Stamenic,2.eng Swansea City,3.0,269.0,89.66666666666667
234,Finn Surman,1.us Portland Timbers,3.0,270.0,90.0
235,Ryan Thomas,1.nl Zwolle,3.0,83.0,27.666666666666668
236,Francis de Vries,1.au Auckland FC,2.0,18.0,9.0
238,Chris Wood,1.eng Nottingham,3.0,270.0,90.0
240,Lukáš Červ,1.cz Viktoria Plzeň,2.0,163.0,81.5
241,Štěpán Chaloupek,1.cz Slavia Prague,1.0,90.0,90.0
242,Tomáš Chorý,1.cz Slavia Prague,2.0,31.0,15.5
243,Mojmír Chytil,1.cz Slavia Prague,1.0,7.0,7.0
244,Vladimír Coufal,1.de Hoffenheim,3.0,270.0,90.0
245,Vladimír Darida,1.cz Hradec Králové,1.0,54.0,54.0
246,David Douděra,1.cz Slavia Prague,1.0,90.0,90.0
247,Adam Hložek,1.de Hoffenheim,3.0,156.0,52.0
248,Tomáš Holeš,1.cz Slavia Prague,2.0,153.0,76.5
250,Robin Hranáč,1.de Hoffenheim,3.0,270.0,90.0
252,Matej Kovar,1.nl PSV,3.0,270.0,90.0
253,Ladislav Krejčí,1.eng Wolves,3.0,270.0,90.0
255,Lukáš Provod,1.cz Slavia Prague,3.0,122.0,40.666666666666664
256,Michal Sadílek,1.cz Slavia Prague,3.0,183.0,61.0
257,Patrik Schick,1.de Leverkusen,3.0,180.0,60.0
259,Alexandr Sojka,1.cz Viktoria Plzeň,3.0,141.0,47.0
260,Tomáš Souček,1.eng West Ham,3.0,137.0,45.666666666666664
262,Pavel Šulc,1.fr Lyon,3.0,189.0,63.0
263,Denis Višinský,1.cz Viktoria Plzeň,1.0,55.0,55.0
264,Jaroslav Zelený,1.cz Sparta Prague,2.0,126.0,63.0
265,David Zima,1.cz Slavia Prague,1.0,13.0,13.0
266,Saud Abdulhamid,1.fr Lens,3.0,269.0,89.66666666666667
269,Nawaf Boushal,1.sa Al-Nassr,2.0,91.0,45.5
270,Firas Al-Buraikan,1.sa Al-Ahli,3.0,238.0,79.33333333333333
271,Nasser Al-Dawsari,1.sa Al-Hilal,3.0,207.0,69.0
272,Salem Al-Dawsari,1.sa Al-Hilal,3.0,245.0,81.66666666666667
273,Khalid Al Ghannam,1.sa Al-Ettifaq,1.0,1.0,1.0
274,Abdullah Al-Hamdan,1.sa Al-Nassr,3.0,71.0,23.666666666666668
275,Moteb Al-Harbi,1.sa Al-Hilal,3.0,188.0,62.666666666666664
276,Alaa Al Hejji,1.sa Neom,2.0,32.0,16.0
