Rk,Player,Sh,SoT,SoT%,Club
305,Jo?o FÇlix,6,1,16.7,1.sa Al-Nassr
306,Lewis Ferguson,2,1,50,1.it Bologna
307,Bruno Fernandes,9,3,33.3,1.eng Manchester Utd
308,Enzo Fern†ndez,12,4,33.3,1.eng Chelsea
309,Matias Fernandez-Pardo,3,0,0,1.fr Lille
310,?lvaro Fidalgo,3,2,66.7,1.es Real Betis
311,Sherel Floranus,2,0,0,1.nl Zwolle
312,Seko Fofana,5,1,20,1.pt Porto
313,Yahia Fofana,0,0,,1.tr Rizespor
314,Deveron Fonville,0,0,,1.nl NEC Nijmegen
315,Yassin FortunÇ,0,0,,2.pt Vizela
316,Lyle Foster,1,0,0,1.eng Burnley
317,Alan Franco,0,0,,1.br AtlÇtico Mineiro
318,Alex Freeman,4,1,25,1.es Villarreal
319,Matt Freese,0,0,,1.us NYCFC
320,Remo Freuler,2,1,50,1.it Bologna
321,Marco Friedl,0,0,,1.de Werder Bremen
322,Juriân Gaari,2,0,0,2.sa Abha
323,Jassem Gaber,0,0,,1.qa Al Rayyan SC
324,Cody Gakpo,10,6,60,1.eng Liverpool
325,Mat°as Galarza,2,1,50,1.us Atlanta Utd
326,Hern†n Gal°ndez,0,0,,1.ar Hurac†n
327,Jes£s Gallardo,4,0,0,1.mx Toluca
328,Ahmed Al-Ganehi,1,0,0,1.qa Al-Gharafa Sports Club
329,Ben Gannon-Doak,4,0,0,1.eng Bournemouth
330,Eric Garc°a,0,0,,1.es Barcelona
331,Gavi,1,0,0,1.es Barcelona
332,Jason Geria,0,0,,2.jp Albirex Niigata
333,Khalid Al Ghannam,0,0,,1.sa Al-Ettifaq
334,Ismaâl Gharbi,3,0,0,1.de Augsburg
335,Mehdi Ghayedi,1,0,0,1.ae Al-Nasr Dubai
336,FarÇs Ghedjemis,0,0,,2.it Frosinone
337,Saman Ghoddos,4,0,0,1.ae Al-Ittihad Kalba
338,Mohammad Ghorbani,2,1,50,1.ae Al-Wahda FC
339,Lee Gi-hyuk,0,0,,1.kr Gangwon FC
340,Armin Gigovic,0,0,,1.ch Young Boys
341,Orlando Gill,0,0,,1.py San Lorenzo
342,Santiago GimÇnez,2,1,50,1.it Milan
343,An°bal Godoy,0,0,,1.us San Diego FC
344,AndrÇs G¢mez,0,0,,1.br Vasco da Gama
345,Diego G¢mez,6,0,0,1.eng Brighton
346,Gustavo G¢mez,2,0,0,1.br Palmeiras
347,Armando Gonz†lez,0,0,,1.mx Guadalajara
348,Nicol†s Gonz†lez,7,1,14.3,1.es AtlÇtico Madrid
349,Anthony Gordon,6,4,66.7,1.es Barcelona
350,Leon Goretzka,2,0,0,1.de Bayern Munich
351,Kenji GorrÇ,0,0,,1.il Maccabi Haifa
352,Keisuke Got?,0,0,,1.be Sint-Truiden
353,Amine Gouiri,3,2,66.7,1.fr Marseille
354,Ryan Gravenberch,5,0,0,1.eng Liverpool
355,Michael Gregoritsch,1,0,0,1.de Augsburg
356,Florian Grillitsch,0,0,,1.pt Braga
357,Pascal Gro·,1,0,0,1.eng Brighton
358,Gabriel Gudmundsson,0,0,,1.eng Leeds United
359,Cho Gue-sung,2,1,50,1.dk Midtjylland
360,Marc GuÇhi,1,0,0,1.eng Manchester City
361,Evann Guessand,1,0,0,1.eng Crystal Palace
362,Idrissa Gueye,5,1,20,1.eng Everton
363,Pape Gueye,8,3,37.5,1.es Villarreal
364,Bruno Guimar?es,8,2,25,1.eng Newcastle
365,Deniz GÅl,2,1,50,1.pt Porto
366,Arda GÅler,12,4,33.3,1.es Real Madrid
367,Angus Gunn,0,0,,1.eng Nottingham
368,Malo Gusto,0,0,,1.eng Chelsea
369,Brian GutiÇrrez,6,0,0,1.mx Guadalajara
370,Jorge GutiÇrrez,0,0,,1.ve Dep. La Guaira
371,Jo?ko Gvardiol,1,0,0,1.eng Manchester City
372,Viktor Gyîkeres,12,6,50,1.eng Arsenal
373,Aziz G?aniyev,1,0,0,
374,Erling Haaland,20,13,65,1.eng Manchester City
375,Ihsan Haddad,1,0,0,1.jo Al-Hussein SC
376,Anis Hadj Moussa,2,0,0,1.nl Feyenoord
377,Jaouen Hadjam,1,0,0,1.ch Young Boys
378,Amir Had?iahmetovi?,0,0,,2.eng Hull City
379,Dennis Had?ikaduni?,0,0,,2.it Sampdoria
380,Karim Hafez,1,0,0,1.eg Pyramids FC
381,Ehsan Hajsafi,1,0,0,1.ir Sepahan
382,Achraf Hakimi,14,4,28.6,1.fr PSG
383,Redouane Halhal,0,0,,1.be Mechelen
384,Ali Al Hamadi,6,0,0,2.eng Ipswich Town
385,Abdullah Al-Hamdan,2,2,100,1.sa Al-Nassr
386,Mohamed Amine Ben Hamida,0,0,,1.tn EspÇrance Tunis
387,Odiljon Hamrobekov,1,0,0,1.ir Tractor
388,Lee Han-beom,2,0,0,1.dk Midtjylland
389,Grant Hanley,0,0,,1.sct Hibernian
390,Sontje Hansen,1,1,100,2.eng Middlesbrough
391,Mohamed Hany,4,0,0,1.eg Al Ahly
392,Moteb Al-Harbi,0,0,,1.sa Al-Hilal
393,Saleh Hardani,0,0,,1.ir Esteghlal
394,Carlos Harvey,5,0,0,1.us Minnesota Utd
395,Akam Hashim,1,0,0,1.iq Al-Zawra'a SC
396,Haissem Hassan,1,0,0,1.es Oviedo
397,Jalal Hassan,0,0,,1.iq Al-Zawra'a SC
398,Abdulaziz Hatem,0,0,,1.qa Al Rayyan SC
399,Jorrel Hato,0,0,,1.eng Chelsea
400,Kai Havertz,12,7,58.3,1.eng Arsenal
401,Hassan Al-Haydos,1,1,100,1.qa Al Sadd
402,Jan Paul van Hecke,3,2,66.7,1.eng Brighton
403,Hwang Hee-chan,1,0,0,1.eng Wolves
404,Torbj?rn Heggem,1,1,100,1.it Bologna
405,Alaa Al Hejji,0,0,,1.sa Neom
406,Dean Henderson,0,0,,1.eng Crystal Palace
407,Jordan Henderson,0,0,,1.eng Brentford
408,Jack Hendry,0,0,,1.sa Al-Ettifaq
409,Luiz Henrique,0,0,,1.ru Zenit
410,Theo Hern†ndez,3,0,0,1.sa Al-Hilal
411,Lucas Herrington,0,0,,1.us Colorado Rapids
412,Son Heung-min,7,1,14.3,1.us LAFC
413,Aaron Hickey,0,0,,1.eng Brentford
414,Isak Hien,0,0,,1.it Atalanta
415,Piero HincapiÇ,3,0,0,1.eng Arsenal
416,Adam Hlo?ek,3,1,33.3,1.de Hoffenheim
417,Tom†? Hole?,0,0,,1.cz Slavia Prague
418,Amirhossein Hosseinzadeh,1,0,0,1.ir Tractor
419,Robin Hran†?,0,0,,1.de Hoffenheim
420,Ajdin Hrustic,3,0,0,1.nl Heracles Almelo
421,CÇsar Huerta,0,0,,1.be Anderlecht
422,Al-Hashmi Al-Hussain,0,0,,1.qa Al-Arabi
423,Ayman Hussein,3,1,33.3,1.iq Al-Karma
424,Oh Hyeon-gyu,4,2,50,1.tr Be?ikta?
425,Yang Hyun-jun,1,1,100,1.sct Celtic
426,Roger Ibanez,0,0,,1.sa Al-Ahli
427,Yasser Ibrahim,1,1,100,1.eg Al Ahly
428,Borja Iglesias,0,0,,1.es Celta Vigo
429,Hwang In-beom,4,2,50,1.nl Feyenoord
430,Christ Inao Oulaã,2,0,0,1.tr Trabzonspor
431,Zidane Iqbal,0,0,,1.nl Utrecht
432,Nestory Irankunda,6,2,33.3,2.eng Watford
433,Jackson Irvine,3,1,33.3,1.de St Pauli
434,Alexander Isak,8,6,75,1.eng Liverpool
435,Wilson Isidor,5,2,40,1.eng Sunderland
436,Jamshid Iskanderov,0,0,,1.uz Neftchi FK
437,Zaid Ismail,0,0,,1.iq Al-Talaba
438,Ko Itakura,0,0,,1.nl Ajax
439,Jacob Italiano,1,0,0,1.at Grazer AK
440,Hiroki Ito,1,0,0,1.de Bayern Munich
441,Junya It?,3,1,33.3,1.be Genk
442,Cedric Itten,0,0,,2.de DÅsseldorf
443,Nicolas Jackson,7,3,42.9,1.de Bayern Munich
444,Lee Jae-sung,2,1,50,1.de Mainz 05
445,Alireza Jahanbakhsh,1,0,0,1.be Dender
446,Ismail Jakobs,1,0,0,1.tr Galatasaray
447,Reece James,1,0,0,1.eng Chelsea
448,Amer Jamous,0,0,,1.iq Al-Zawra'a SC
449,Luca Jaquez,0,0,,1.de Stuttgart
450,Ardon Jashari,2,0,0,1.it Milan
451,Ali Jasim,4,1,25,1.sa Al-Najma
452,Danley Jean-Jacques,0,0,,1.us Philadelphia
453,Eom Ji-sung,0,0,,2.eng Swansea City
454,Ra£l JimÇnez,18,7,38.9,1.eng Fulham
455,Kim Jin-gyu,1,0,0,1.kr Jeonbuk
